;name;2012;2013;2014;2015;2016;2017;2018
NL01482;NL01482;119.996;62.125;65.304;70.727;-;-;-
NL01483;Rotterdam-Botlek_A15;97.888;64.0;69.833;71.277;-;-;-
NL01485;Rotterdam-Hoogvliet;95.846;59.654;62.483;64.578;-39.656;-;-
NL01487;Rotterdam-Pleinweg;60.483;68.079;64.346;79.18;50.358;79.348;75.08
NL01488;Rotterdam-Zwartewaalstraat;58.958;61.725;61.087;73.873;48.837;75.825;71.49
NL01489;Ridderkerk-A16;91.675;60.429;55.496;72.878;47.4;77.396;73.27
NL01491;Overschie-A13;59.279;61.329;59.688;74.471;45.396;72.112;67.13
NL01494;Schiedam-A.Arienstraat;58.004;63.342;61.817;75.858;48.079;76.721;71.81
NL01495;Maassluis-Kwartellaan;89.755;61.642;60.017;63.868;43.161;70.533;71.29
NL01496;Rotterdam HvHolland;89.487;63.65;55.888;71.448;43.967;76.846;70.94
NL10131;Vredepeel-Vredeweg;-;-;-49.528;-50.942;-39.599;54.552;63.81
NL10136;Heerlen-Looierstraat;-;-;-63.53;-104.487;-36.907;49.045;54.94
NL10138;Heerlen-Jamboreepad;-;-;-54.011;-102.316;-46.856;54.819;50.7
NL10230;Biest Houtakker-Biestsestraat;-;-;-46.208;57.811;47.942;72.59;75.16
NL10240;Breda-Tilburgseweg;-;-;-47.029;-62.621;43.923;76.925;71.26
NL10241;Breda-Bastenakenstraat;-;-;-46.963;62.388;44.932;52.219;-
NL10247;Veldhoven-Europalaan;-;-;-48.291;-55.92;45.619;69.769;68.04
NL10404;Den Haag-Rebecquestraat;-;-;-;-;47.35;78.485;61.77
NL10418;Rotterdam-Schiedamsevest;-;-;-;-;43.173;74.661;65.0
NL10433;Vlaardingen-Floreslaan;-;-;-43.306;-64.903;-43.972;-76.375;-
NL10444;De Zilk-Vogelaarsdreef;-;-;-37.982;63.94;49.545;72.013;60.53
NL10448;Rotterdam-Bentinckplein;-;-;-;73.823;43.993;76.336;66.15
NL10538;Wieringerwerf-Medemblikkerweg;-;-;-40.029;61.736;-67.302;61.711;-
NL10547;Hilversum-Johannes Geradtsweg;-;-;-44.492;-66.724;59.166;70.978;-
NL10636;Utrecht-Kardinaal de Jongweg;-;-;-43.158;-70.209;55.381;71.431;61.77
NL10641;Breukelen-A2;-;-;-39.393;-68.854;55.862;71.462;61.03
NL10643;Utrecht-Griftpark;-;-;-45.375;-65.705;57.111;75.802;60.95
NL10644;Cabauw-Wielsekade;-;-;-41.86;-59.619;41.603;69.744;47.53
NL10738;Wekerom-Riemterdijk;-;-;-47.02;-51.119;66.125;74.895;60.74
NL10741;Nijmegen-Graafseweg;-;-;-49.972;-77.965;61.011;68.238;60.05
NL10742;Nijmegen-Ruyterstraat;-;-;-48.844;69.549;60.953;68.909;60.57
NL10821;Enschede-Winkelshorst;-;-;-52.06;-78.607;78.751;71.777;51.88
NL10934;Kollumerwaard-Hooge Zuidwal;-;-;-41.842;-57.755;64.242;64.141;46.44
NL10937;Groningen-Europaweg;-;-;-;-60.572;63.781;57.634;47.28
NL10938;Groningen-Nijensteinheerd;-;-;-;-71.822;65.578;63.192;48.16
NL49007;Amsterdam-Einsteinweg;93.713;62.946;79.0;-83.846;64.427;76.525;59.73
NL49012;Amsterdam-Van Diemenstraat;99.429;61.996;76.8;82.767;75.092;72.775;61.04
NL49014;Amsterdam-Vondelpark;98.1;62.583;69.271;77.183;61.521;77.804;58.43
NL49016;Amsterdam-Westerpark;95.822;62.967;71.108;73.925;69.432;81.925;61.02
NL49017;Amsterdam-Stadhouderskade;93.048;68.513;79.167;74.308;63.575;75.954;61.03
NL49551;IJmuiden-Kanaalstraat;92.763;59.388;77.646;77.358;68.733;78.054;67.0
NL49553;Wijk aan Zee-De Banjaert;90.836;62.846;72.929;80.283;69.967;77.463;61.7
NL49556;De Rijp-Oostdijkje;-;-;-;-;-;75.213;61.26
NL49561;Badhoevedorp-Sloterweg;92.975;64.287;59.475;77.763;62.679;81.013;64.76
NL49570;Beverwijk-Creutzberglaan;91.036;58.513;71.854;74.608;65.554;78.321;60.28
NL49572;Velsen-Staalstraat;90.058;60.575;74.646;78.754;67.588;77.325;60.65
NL49573;Velsen-Reyndersweg;98.763;69.537;79.079;76.767;84.367;83.035;81.02
NL49701;Zaandam-Wagenschotpad;88.2;59.525;73.129;78.992;68.867;73.908;58.46
NL49703;Spaarnwoude-Machineweg;95.783;67.563;60.908;76.679;67.708;76.638;61.0
NL49704;Zaanstad-Hoogtij;88.038;62.35;59.496;81.054;61.992;75.129;60.61

Alle meetpunten
* = Minder dan 90% van de mogelijke dagwaarden beschikbaar.
Het RIVM actualiseert de gepresenteerde kentallen medio maart. Wij raden u aan gebruik te maken van de dataset die medio maart beschikbaar is.
microgram/m3
